Cluster_name	Count	Max with r1	Max with_r2	Recombinant1	Recombinant2
centroid=F5_LH_3654;seqs=4;size=9;	9	9	9	0	0
centroid=F2_B2_241;seqs=1;size=1;	1	1	12	0	1
centroid=F5_LH_4701;seqs=1;size=1;	1	18	1	1	0
centroid=F5_LH_2932;seqs=3;size=3;	3	3	15	0	1
centroid=F5_LH_1955;seqs=2;size=2;	2	28	2	1	0
centroid=F5_LH_3486;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LH_3971;seqs=1;size=1;	1	8	1	1	0
centroid=F1_H_254;seqs=4;size=4;	4	4	88	0	1
centroid=F5_LH_3118;seqs=12;size=15;	15	15	15	0	0
centroid=F3_H_1127;seqs=1;size=1;	1	1	366	0	1
centroid=F2_H_425;seqs=2;size=2;	2	99	2	1	0
centroid=F5_LB_2358;seqs=5;size=12;	12	12	12	0	0
centroid=F5_LB_2219;seqs=2;size=5;	5	5	5	0	0
centroid=F2_B2_373;seqs=1;size=1;	1	7	1	1	0
centroid=F6_LB_6184;seqs=1;size=1;	1	37	1	1	0
centroid=F4_LH_587;seqs=6;size=14;	14	14	14	0	0
centroid=F5_LB_2048;seqs=3;size=6;	6	6	6	0	0
centroid=F5_LB_3205;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LH_4299;seqs=4;size=9;	9	9	9	0	0
centroid=F2_H_454;seqs=4;size=4;	4	34	4	1	0
centroid=F2_H_801;seqs=1;size=1;	1	77	1	1	0
centroid=F5_LH_3398;seqs=1;size=2;	2	2	2	0	0
centroid=F5_LH_4275;seqs=1;size=3;	3	3	3	0	0
centroid=F5_LB_1159;seqs=1;size=1;	1	4	1	1	0
centroid=F5_LB_92;seqs=1;size=1;	1	1	1	0	0
centroid=F5_LH_385;seqs=6;size=6;	6	6	6	0	0
centroid=F5_LH_4800;seqs=1;size=1;	1	6	1	1	0
centroid=F6_LB_7372;seqs=1;size=1;	1	1	36	0	1
centroid=F5_LB_1642;seqs=2;size=4;	4	4	4	0	0
centroid=F5_LH_4317;seqs=9;size=16;	16	16	16	0	0
centroid=F6_LH_6971;seqs=21;size=73;	73	73	73	0	0
centroid=F3_H_1734;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LH_6823;seqs=14;size=36;	36	36	36	0	0
centroid=F5_LH_5354;seqs=6;size=9;	9	9	9	0	0
centroid=F2_B2_1139;seqs=1;size=1;	1	2	1	1	0
centroid=F5_LH_644;seqs=1;size=1;	1	1	1	0	0
centroid=F6_LB_6606;seqs=12;size=29;	29	29	29	0	0
centroid=F6_LB_2448;seqs=2;size=2;	2	2	42	0	1
centroid=F2_H_411;seqs=1;size=1;	1	1	16	0	1
centroid=F2_H_660;seqs=1;size=1;	1	77	1	1	0
centroid=F6_LB_1116;seqs=4;size=6;	6	6	6	0	0
centroid=F5_LB_422;seqs=1;size=2;	2	2	2	0	0
centroid=F6_LH_1814;seqs=7;size=7;	7	55	77	1	1
centroid=F2_B2_512;seqs=1;size=1;	1	18	1	1	0
centroid=F5_LB_1791;seqs=3;size=4;	4	4	4	0	0
centroid=F5_LH_4921;seqs=2;size=5;	5	5	5	0	0
